State,District,ID,Year,Area,Reporting Area For Land Utilisation Statistics,Forests,Area Under Non Agricultural Uses,Barren and Un Culturable Land ,Total,Permanent Pastures and Other Grazing Lands,Land Under Misc Tree Crops and Groves not Included in Net Area,Culturable Waste Land ,Total,Fallow Lands Other than Current Fallows,Current Fallow,Total,Net Area Sown,Total Cropped Area,Area Sown More than Once, Canal-Government-NIA,Canal-Private-NIA,Canal-Total-NIA,Tanks-NIA,Tube Wells-NIA,Other Wells-NIA,Other Sources-NIA,Total-NIA, Canal-Government-GIA,Canal-Private-GIA,Canal-Total-GIA,Tanks-GIA,Tube Wells-GIA,Other Wells-GIA,Other Sources-GIA,Total-GIA,Rice (Oryza Sativa)-Autumn,Rice (Oryza Sativa)-Winter,Rice (Oryza Sativa)-Summer,Rice (Oryza Sativa)-Total,Cholum or Jowar (Sorghum Vulgare)-Kharif,Cholum or Jowar (Sorghum Vulgare)-Rabi,Cholum or Jowar (Sorghum Vulgare)-Total,Cumbu or Bajra (Pennisetumtyphoideum),Maize (Zea Mays,Ragi or Marua (Elusine Coracana),Wheat (Triticumsativum),Barley (Hordeumvulgare),Other Cereals and Millets-Kharif,Other Cereals and Millets-Rabi,Other Cereals and Millets-Total,Total Cereals and Millets,Gram (Cicerarietinum),Tur or Arhar (Cajanusindicus),Other Pulses (Excluding Gram and Tur or Arhar)-Kharif,Other Pulses (Excluding Gram and Tur or Arhar)-Rabi,Other Pulses (Excluding Gram and Tur or Arhar)-Total,Total Pulses,Total Food Grains,Sugarcane (Saccharumofficinarum),Condiments and Spices,Fruits and Vegetables Including root crops,Other Food Crops,Total Food Crops,Groundnut (Arachishypozes),Sesamum (Til or Jinjili) (Sesamum indicum),Rape & Mustard (Brassicasp),Linseed (Linumusitatissimum),Others,Total,Cotton (Gossyptumsp),Tobacco (Nicotianatobacum & N. Rustica),Fodder Crops,Other Non-food Crops,Total Non-food Crops,Total (Under all Crops)
Kerala,,,1985-86,,,,,,,,,31000,,23000,26000,,1543000,,,,,76000,36000,2000,79000,59000,,,,,,,,,,184000,,,,NA,,,NA,NA,0,NA,NA,,,,,NA,NA,,,,,,1000,,NA,,,1000,,NA,,,,NA,NA,,,,
Kerala,,,1990-91,,,,,,,,,28000,,21000,20000,,1565000,,,,,83000,51000,5000,91000,65000,,,,,,,,,,184000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,1000,,NA,,,NA,,NA,,,,NA,NA,,,,
Kerala,,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Kerala,,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,64700,43600,18900,149900,80800,,,,,,,,,,112300,,,,NA,,,NA,0,0,NA,NA,,,,,0,0,,,,,,1700,,55900,,,900,,NA,,,,200,0,,,,
Kerala,,,2005-06,,,,,,,,,25200,,14800,26400,,1300600,,,,,55400,35500,21900,116000,121500,,,,,,,,,,107000,,,,0,,,0,0,0,0,NA,,,,,0,0,,,,,,1500,,54600,,,0,,0,,,,0,0,,,,
Manipur,70195,,1970-71,,,,,,,,,NA,,NA,NA,,92341,,,,,10249,NA,NA,NA,4056,,,,,,,,,,14305,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Manipur,70195,,1975-76,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Manipur,70195,,1980-81,,,,,,,,,3000,,2000,3000,,153000,,,,,59000,NA,NA,NA,1000,,,,,,,,,,70000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Manipur,70195,,1985-86,,,,,,,,,3000,,2000,3000,,159000,,,,,60000,NA,NA,NA,3000,,,,,,,,,,72000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Manipur,70195,,1990-91,,,,,,,,,2000,,2000,3000,,160000,,,,,60000,NA,NA,NA,4000,,,,,,,,,,86000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Manipur,70195,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Manipur,70195,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,26300,0,0,0,10700,,,,,,,,,,36900,,,,NA,,,NA,0,NA,0,NA,,,,,0,0,,,,,,0,,1900,,,0,,300,,,,NA,NA,,,,
Manipur,70195,,2005-06,,,,,,,,,0,,0,200,,171700,,,,,16700,0,0,0,17500,,,,,,,,,,34200,,,,0,,,0,0,0,0,NA,,,,,0,0,,,,,,0,,300,,,0,,300,,,,0,0,,,,
Meghalaya,17793,,1970-71,,,,,,,,,7145,,3743,8568,,228985,,,,,NA,NA,NA,NA,75316,,,,,,,,,,76730,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Meghalaya,17793,,1975-76,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Meghalaya,17793,,1980-81,,,,,,,,,1000,,0,4000,,291000,,,,,NA,NA,NA,NA,111000,,,,,,,,,,111000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Meghalaya,17793,,1985-86,,,,,,,,,0,,0,2000,,298000,,,,,NA,NA,NA,NA,105000,,,,,,,,,,105000,,,,NA,,,NA,NA,NA,0,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Meghalaya,17793,,1990-91,,,,,,,,,1000,,0,2000,,298000,,,,,NA,NA,NA,NA,99000,,,,,,,,,,105000,,,,NA,,,NA,NA,NA,0,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Meghalaya,17793,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Meghalaya,17793,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Meghalaya,17793,,2005-06,,,,,,,,,2600,,3800,23600,,201700,,,,,7000,100,0,1200,37400,,,,,,,,,,44000,,,,0,,,0,100,0,0,NA,,,,,0,0,,,,,,0,,1400,,,0,,0,,,,0,0,,,,
Mizoram,17798,,1970-71,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Mizoram,17798,,1975-76,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Mizoram,17798,,1980-81,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Mizoram,17798,,1985-86,,,,,,,,,NA,,NA,2000,,80000,,,,,4000,NA,NA,NA,1000,,,,,,,,,,5000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Mizoram,17798,,1990-91,,,,,,,,,NA,,NA,2000,,82000,,,,,4000,NA,NA,NA,9000,,,,,,,,,,13000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Mizoram,17798,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Mizoram,17798,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,500,0,0,0,4500,,,,,,,,,,4700,,,,NA,,,0,0,NA,NA,NA,,,,,0,0,,,,,,0,,NA,,,0,,0,,,,0,0,,,,
Mizoram,17798,,2005-06,,,,,,,,,0,,0,0,,109900,,,,,9800,200,0,0,900,,,,,,,,,,10600,,,,0,,,0,0,0,0,NA,,,,,0,0,,,,,,0,,200,,,0,,100,,,,0,0,,,,
Nagaland,17805,,1970-71,,,,,,,,,49598,,113385,83319,,170060,,,,,14214,379,NA,NA,11314,,,,,,,,,,24702,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,20,,275,,,NA,,NA,,,,NA,NA,,,,
Nagaland,17805,,1975-76,,,,,,,,,,,NA,NA,,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Nagaland,17805,,1980-81,,,,,,,,,63000,,290000,94000,,180000,,,,,55000,NA,NA,NA,4000,,,,,,,,,,59000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Nagaland,17805,,1985-86,,,,,,,,,136000,,258000,120000,,186000,,,,,NA,NA,NA,NA,60000,,,,,,,,,,60000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Nagaland,17805,,1990-91,,,,,,,,,148000,,248000,100000,,218000,,,,,NA,NA,NA,NA,65000,,,,,,,,,,65000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Nagaland,17805,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Nagaland,17805,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,1500,0,0,0,58000,,,,,,,,,,59200,,,,0,,,0,100,0,100,NA,,,,,0,0,,,,,,0,,100,,,0,,0,,,,0,NA,,,,
Nagaland,17805,,2005-06,,,,,,,,,92100,,274900,159200,,309100,,,,,100,0,0,0,73800,,,,,,,,,,73900,,,,0,,,0,100,0,0,NA,,,,,0,0,,,,,,0,,0,,,0,,0,,,,0,0,,,,
Sikkim,17864,,1970-71,,,,,,,,,NA,,NA,NA,,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Sikkim,17864,,1975-76,,,,,,,,,NA,,NA,NA,,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Sikkim,17864,,1980-81,,,,,,,,,0,,10000,4000,,78000,,,,,NA,NA,NA,NA,11000,,,,,,,,,,12000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Sikkim,17864,,1985-86,,,,,,,,,3000,,4000,5000,,74000,,,,,NA,NA,NA,NA,17000,,,,,,,,,,17000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Sikkim,17864,,1990-91,,,,,,,,,10000,,9000,4000,,63000,,,,,NA,NA,NA,NA,11000,,,,,,,,,,14000,,,,NA,,,NA,3000,NA,0,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,0,,,,NA,NA,,,,
Sikkim,17864,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Sikkim,17864,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,1100,0,0,0,5300,,,,,,,,,,4400,,,,0,,,0,400,0,0,NA,,,,,0,NA,,,,,,0,,300,,,0,,0,,,,NA,NA,,,,
Sikkim,17864,,2005-06,,,,,,,,,3300,,4500,5000,,77400,,,,,0,200,0,0,14300,,,,,,,,,,11800,,,,0,,,0,900,0,1100,NA,,,,,0,0,,,,,,0,,800,,,100,,500,,,,100,0,,,,
Tripura,17885,,1970-71,,,,,,,,,5254,,2153,3668,,217852,,,,,130,114,116,14,2123,,,,,,,,,,2275,,,,NA,,,NA,NA,NA,13,NA,,,,,NA,NA,,,,,,73,,785,,,3,,15,,,,18,,,,,
Tripura,17885,,1975-76,,,,,,,,,NA,,NA,NA,,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Tripura,17885,,1980-81,,,,,,,,,12000,,4000,8000,,271000,,,,,2000,0,2000,NA,12000,,,,,,,,,,27000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,2000,,,NA,,NA,,,,NA,NA,,,,
Tripura,17885,,1985-86,,,,,,,,,6000,,2000,4000,,271000,,,,,2000,0,0,0,9000,,,,,,,,,,12000,,,,NA,,,NA,NA,NA,0,NA,,,,,NA,NA,,,,,,0,,NA,,,NA,,0,,,,NA,NA,,,,
Tripura,17885,,1990-91,,,,,,,,,8000,,17000,5000,,244000,,,,,5000,2000,1000,NA,10000,,,,,,,,,,22000,,,,NA,,,NA,NA,NA,0,NA,,,,,NA,NA,,,,,,NA,,NA,,,0,,0,,,,NA,NA,,,,
Tripura,17885,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Tripura,17885,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,14800,2500,6600,1600,35400,,,,,,,,,,65500,,,,NA,,,NA,NA,NA,200,NA,,,,,NA,0,,,,,,100,,7100,,,0,,100,,,,0,NA,,,,
Tripura,17885,,2005-06,,,,,,,,,1700,,1000,400,,249800,,,,,9000,1600,5700,2200,39700,,,,,,,,,,63900,,,,0,,,0,0,0,200,NA,,,,,0,200,,,,,,0,,9100,,,0,,0,,,,0,0,,,,
West Bengal,17951,,1970-71,,,,,,,,,21264,,44901,58438,,4425978,,,,,487970,224861,36454,12414,68697,,,,,,,,,,781087,,,,32,,,15,165,48,71957,1533,,,,,5074,204,,,,,,8833,,88599,,,56,,7881,,,,86,NA,,,,
West Bengal,17951,,1975-76,,,,,,,,,NA,,NA,NA,,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,,,NA,,,NA,,NA,,,,NA,NA,,,,
West Bengal,17951,,1980-81,,,,,,,,,21000,,29000,42000,,5032000,,,,,620000,302000,248000,29000,141000,,,,,,,,,,1275000,,,,NA,,,NA,14000,NA,173000,3000,,,,,14000,1000,,,,,,9000,,183000,,,NA,,49000,,,,NA,NA,,,,
West Bengal,17951,,1985-86,,,,,,,,,8000,,11000,21000,,5329000,,,,,703000,320000,600000,25000,244000,,,,,,,,,,1996000,,,,NA,,,NA,4000,NA,217000,NA,,,,,NA,NA,,,,,,7000,,NA,,,NA,,129000,,,,NA,NA,,,,
West Bengal,17951,,1990-91,,,,,,,,,13000,,18000,39000,,5368000,,,,,256000,170000,1220000,151000,513000,,,,,,,,,,2531000,,,,NA,,,NA,5000,NA,260000,NA,,,,,NA,NA,,,,,,5000,,NA,,,NA,,245000,,,,NA,NA,,,,
West Bengal,17951,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
West Bengal,17951,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,657600,283000,1647000,41600,311700,,,,,,,,,,2878400,,,,400,,,600,5000,100,241300,NA,,,,,4800,200,,,,,,2900,,913700,,,6400,,305900,,,,100,29100,,,,
West Bengal,17951,,2005-06,,,,,,,,,24700,,8300,33700,,5303200,,,,,632300,297200,1955800,45800,350800,,,,,,,,,,2939000,,,,1800,,,3900,9400,100,290700,NA,,,,,2900,900,,,,,,4600,,790800,,,21300,,269100,,,,700,29600,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
